Приоритетна област	Програма	Модул	Вид	Средства	Година
Ефективно включване, трайно приобщаване и образователна интеграция	НП ПОДПОМАГАНЕ НА ОБЩИНИТЕ ЗА РЕАЛИЗИРАНЕ НА ДЕЙНОСТИ ЗА ОБРАЗОВАТЕЛНА ДЕСЕГРЕГАЦИЯ И ПРЕВЕНЦИЯ ЗА НЕДОПУСКАНЕ НА ВТОРИЧНА СЕГРЕГАЦИЯ		Национална програма	196000	2020
Ефективно включване, трайно приобщаване и образователна интеграция	НП ПРЕДОСТАВЯНЕ НА СЪВРЕМЕННИ УСЛОВИЯ ЗА РАБОТА НА ДЕЦАТА И УЧЕНИЦИТЕ В ЦЕНТРОВЕ ЗА ПОДКРЕПА ЗА ЛИЧНОСТНО РАЗВИТИЕ		Национална програма	370903	2020
Ефективно включване, трайно приобщаване и образователна интеграция	НП РАЗРАБОТВАНЕ НА УЧЕБНИ ПОМАГАЛА И НА МЕТОДИЧЕСКИ РЪКОВОДСТВА, ОЦЕНЯВАНЕ И ОДОБРЯВАНЕ НА ПРОЕКТИ НА УЧЕБНИ ПОМАГАЛА ЗА ПОДПОМАГАНЕ НА ОБУЧЕНИЕТО, ОРГАНИЗИРАНО В ЧУЖБИНА, НА ПРОЕКТИ НА УЧЕБНИЦИ И НА ПРОЕКТИ НА УЧЕБНИ КОМПЛЕКТИ		Национална програма	1051159	2020
Ефективно включване, трайно приобщаване и образователна интеграция	НАЦИОНАЛНА ПРОГРАМА БЕЗ СВОБОДЕН ЧАС	 Модул 1 - Без свободен час в училище		2157682	2020
Ефективно включване, трайно приобщаване и образователна интеграция	НП ЗАЕДНО ЗА ВСЯКО ДЕТЕ		Национална програма	153928	2020
Ефективно включване, трайно приобщаване и образователна интеграция	BG05M2ОP001-2.011-0001 Подкрепа за успех		Европейски програми и проекти	48340894	2020
Ефективно включване, трайно приобщаване и образователна интеграция	BG05M2OP001-2.018 Социално-икономическа интеграция на уязвими групи. Интегрирани мерки за подобряване достъпа до образование – Компонент 1		Европейски програми и проекти	4702054.79	2020
Ефективно включване, трайно приобщаване и образователна интеграция	BG05M20P001-3.002 Образователна интеграция на учениците от етническите малцинства и/или търсещи или получили международна закрила		Европейски програми и проекти	337408.4	2020
Образователни иновации, дигитална трансформация и устойчиво развитие	НП ИНФОРМАЦИОННИ И КОМУНИКАЦИОННИ ТЕХНОЛОГИИ (ИКТ) В СИСТЕМАТА НА ПРЕДУЧИЛИЩНОТО И УЧИЛИЩНОТО ОБРАЗОВАНИЕ		Национална програма	17900555	2020
Образователни иновации, дигитална трансформация и устойчиво развитие	НП ИЗГРАЖДАНЕ НА УЧИЛИЩНА STEM СРЕДА		Национална програма	19732082	2020
Образователни иновации, дигитална трансформация и устойчиво развитие	НП ИНОВАЦИИ В ДЕЙСТВИЕ		Национална програма	1968760	2020
